Country,ISO3,Year,Stunting_Prevalence,Overweight_Prevalence,Stunting_Risk,Overweight_Risk,GDP_per_Capita,Poverty_Rate,Fertility_Rate,Urban_Population_Percent,Female_Literacy_Rate,Male_Literacy_Rate
Estonia,EST,2011,1.3,4.8,0,0,17555.5455239426,1.2,1.61,67.8775556334506,99.9100036621094,99.8600006103516
Eswatini,SWZ,2000,35.7,13.0,2,1,1629.67038842815,65.0,4.03,22.8409330761997,80.3300018310547,83.1500015258789
Ethiopia,ETH,2004,52.8,3.1,2,0,133.169812538096,41.3,6.301,15.7585906982422,22.7999992370606,50.0
Ethiopia,ETH,2021,35.6,2.7,2,0,893.00983544905,38.6,4.177,22.1067085266113,44.1175468876936,65.9760526983118
Georgia,GEO,2002,15.5,19.7,0,1,853.526171868939,22.3,1.571,52.4127676027039,99.5500030517578,99.7699966430664
Georgia,GEO,2014,8.0,11.1,0,1,4830.33486170249,12.0,2.18,57.0237612994258,99.5100021362305,99.6699981689453
Georgia,GEO,2017,6.5,7.9,0,0,4418.75206546679,11.1,2.136,57.9996827205757,99.2900009155273,99.4400024414062
Georgia,GEO,2018,6.0,7.1,0,0,4804.0546040444,11.0,2.093,58.3038181862576,99.6500015258789,99.6600036621094
Georgia,GEO,2019,5.6,6.3,0,0,4741.2832715876,9.7,2.021,58.6304091780343,99.9624644408723,99.9632688543619
Georgia,GEO,2020,5.3,5.7,0,0,4300.85701291207,12.0,1.976,58.9990552763878,100.0,100.0
Georgia,GEO,2021,5.1,5.2,0,0,5083.60695484577,10.8,1.98,59.4293560618005,100.0,100.0
Georgia,GEO,2022,4.9,4.7,0,0,6729.84659930283,7.7,1.82,60.0101622679115,99.5400009155273,99.620002746582
Georgia,GEO,2023,4.8,4.4,0,0,8283.66960652261,5.8,1.81,60.7523077799724,99.5599975585938,99.5500030517578
Greece,GRC,2009,1.8,13.2,0,1,29425.4573200263,0.6,1.5,76.0174962722535,91.8499984741211,96.0699996948242
Guatemala,GTM,2014,46.8,4.1,2,0,3689.14510410202,8.0,3.088,53.1458479013964,76.370002746582,86.7600021362305
Guatemala,GTM,2023,44.1,3.7,2,0,5758.32760847852,9.7,2.311,55.6082319565539,78.7607326882149,88.1639060201333
Guinea,GIN,2018,29.3,3.8,1,0,933.273615633705,11.7,4.669,35.8554382324219,27.6900005340576,54.4300003051758
Haiti,HTI,2012,23.1,3.5,1,0,1361.39396587374,40.4,3.321,47.4314843495779,68.8274873119536,80.1076252729152
Honduras,HND,2001,35.5,3.6,2,0,1132.1648753329,26.5,4.153,45.8623033555915,80.2200012207031,79.7900009155273
Honduras,HND,2007,28.5,4.5,1,0,1577.73789197407,22.0,3.351,49.3994250214704,83.4499969482422,83.75
Honduras,HND,2010,24.2,4.9,1,0,1893.32722662035,19.6,3.078,51.3273733161098,84.7300033569336,84.7900009155273
Honduras,HND,2011,22.9,5.0,1,0,2073.66121088074,20.1,2.998,51.9908892304951,84.9300003051758,85.3399963378906
Honduras,HND,2012,21.8,5.1,1,0,2126.03474686503,24.0,2.927,52.6641557109031,85.0500030517578,85.6999969482422
